,project_id,lat,lng
0,2685187,22.544267,114.054533
1,2739227,22.264412,114.167061
2,1166581,34.052238,-118.243344
3,1143140,34.052238,-118.243344
4,2735280,35.988061,139.070081
5,2699968,-19.58883,-42.64984
6,2650630,34.052238,-118.243344
7,2558245,40.758478,-111.888142
8,1676513,43.651893,-79.381713
9,814501,30.264979,-97.746598
10,2656903,34.052238,-118.243344
11,731457,34.052238,-118.243344
12,1383172,34.052238,-118.243344
13,2543163,34.052238,-118.243344
14,2648150,21.30992,-157.858158
15,712200,37.869058,-122.270455
16,1524685,31.796816,35.213782
17,2380464,51.046362,-114.05803
18,736490,34.052238,-118.243344
19,2222339,41.883229,-87.632398
20,2723304,22.264412,114.167061
21,2694627,35.680071,139.768522
22,2657703,37.38863,-5.995317
23,2655867,34.052238,-118.243344
24,1759114,34.052238,-118.243344
25,2583077,39.891353,-74.922136
26,2143477,40.758478,-111.888142
27,2692277,34.052238,-118.243344
28,1260242,35.996948,-78.899023
29,2632142,37.78008,-122.420168
30,2701825,59.330761,18.06131
31,2580716,22.31576,114.2186
32,1309900,37.334807,-121.888128
33,2394209,40.692529,-73.990996
34,2480420,40.233677,-111.663926
35,2537930,45.757598,4.832332
36,1223473,51.507276,-0.12766
37,654871,34.182052,-118.307476
38,1916466,46.872129,-113.994017
39,2601095,37.78008,-122.420168
40,333003,34.052238,-118.243344
41,2496525,35.923652,-86.867827
42,2617985,-33.854816,151.216454
43,2240082,-37.814255,144.963146
44,2683334,35.680071,139.768522
45,1029191,46.872129,-113.994017
46,1380532,25.037638,121.564459
47,2670518,51.507276,-0.12766
48,1556306,46.872129,-113.994017
49,1539948,33.448204,-112.072585
50,2613407,29.794857,-95.816531
51,2084398,48.754899,-122.478122
52,613189,46.872129,-113.994017
53,1657001,22.544267,114.054533
54,2709517,40.713054,-74.007228
55,1855919,-37.814255,144.963146
56,2113960,34.052238,-118.243344
57,936744,60.166628,24.943508
58,2007142,34.052238,-118.243344
59,1611064,43.651893,-79.381713
60,400689,34.052238,-118.243344
61,432802,34.052238,-118.243344
62,1963196,34.010932,-118.491512
63,2715793,6.91092,116.82291
64,1856254,33.244437,-84.263911
65,2613240,43.651893,-79.381713
66,1539964,39.90647,116.391195
67,2683195,39.891353,-74.922136
68,2723946,33.941887,-84.212177
69,2647911,59.330761,18.06131
70,2685782,34.668313,135.617891
71,2442920,-23.550651,-46.633382
72,1415775,34.052238,-118.243344
73,2605835,46.00501,8.952028
74,2647972,59.330761,18.06131
75,1317959,40.674396,-79.989083
76,1724116,31.796816,35.213782
77,2382074,39.891353,-74.922136
78,2669951,47.603229,-122.33028
79,1969221,18.95238,72.832711
80,2568844,32.080481,34.780527
81,2718365,57.706407,11.968629
82,1034338,40.713054,-74.007228
83,1048798,34.420867,-119.698342
84,2340785,49.263566,-123.138572
85,2524154,32.777977,-96.796215
86,2703504,40.713054,-74.007228
87,1383480,32.847198,-117.2733
88,2737154,35.680071,139.768522
89,1413829,37.78008,-122.420168
90,2571631,32.080481,34.780527
91,2428298,51.507276,-0.12766
92,2694240,44.222602,12.040938
93,902721,34.052238,-118.243344
94,1312847,37.78008,-122.420168
95,2645939,39.891353,-74.922136
96,966690,60.166628,24.943508
97,2666100,42.358894,-71.056742
98,2394811,40.799904,-73.650719
99,2349099,48.856506,2.352133
100,497547,39.68166,-75.75361
101,2719856,42.358894,-71.056742
102,1893207,55.686724,12.570069
103,2737047,39.962649,-82.996216
104,1782270,18.473687,-66.938211
105,1145912,34.052238,-118.243344
106,2201471,-33.854816,151.216454
107,2630361,39.891353,-74.922136
108,1668141,51.507276,-0.12766
109,1851267,44.020796,-88.540014
110,2476552,39.469901,-0.375951
111,2078347,51.507276,-0.12766
112,1813161,45.516018,-122.681425
113,2714542,38.804665,-77.043614
114,2051688,40.233677,-111.663926
115,198695,37.087628,-94.512248
116,2719035,39.957386,-74.925393
